Loyola Marymount,-1.88,33.9675,-118.41556,,,,,,,,,,,,,,,,,,
Loyola MD,-11.29,39.346803,-76.618615,,,,,,,,,,,,,,,,,,
LSU,20.07,30.4142,-91.1845,,,,,,,,,,,,,,,,,,
Maine,-12.7,44.7893,-68.7787,,,,,,,,,,,,,,,,,,
Manhattan,-7.34,40.89073,-73.900158,,,,,,,,,,,,,,,,,,
Marist,-9.93,41.718431,-73.934,,,,,,,,,,,,,,,,,,
Marquette,20.09,43.045028,-87.918167,,,,,,,,,,,,,,,,,,
Marshall,-1.35,38.424908,-82.426575,,,,,,,,,,,,,,,,,,
Maryland,25.04,38.99528,-76.94139,,,,,,,,,,,,,,,,,,
Maryland Eastern Shore,-20.25,38.211184,-75.687227,,,,,,,,,,,,,,,,,,
Massachusetts,0.07,42.3893806,-72.5334389,,,,,,,,,,,,,,,,,,
McNeese,-9.03,30.1755,-93.2095,,,,,,,,,,,,,,,,,,
Memphis,20.16,35.13833,-90.05056,,,,,,,,,,,,,,,,,,
Mercer,-5.4,32.82972,-83.65194,,,,,,,,,,,,,,,,,,
Mercyhurst,-19.68,42.1046,-80.0556,,,,,,,,,,,,,,,,,,
Merrimack,-10.48,42.667843,-71.119995,,,,,,,,,,,,,,,,,,
Miami FL,18.13,25.715,-80.27917,,,,,,,,,,,,,,,,,,
Miami OH,-3.19,39.5172361,-84.7345444,,,,,,,,,,,,,,,,,,
Michigan,24.92,42.265037,-83.746768,,,,,,,,,,,,,,,,,,
Michigan St.,31.79,42.728227,-84.492396,,,,,,,,,,,,,,,,,,
Middle Tennessee,0.42,35.8524667,-86.3698028,,,,,,,,,,,,,,,,,,
Milwaukee,-3.76,43.04222,-87.91694,,,,,,,,,,,,,,,,,,
Minnesota,14.25,44.97694,-93.22833,,,,,,,,,,,,,,,,,,
Mississippi,15.31,34.3631639,-89.5354528,,,,,,,,,,,,,,,,,,
Mississippi St.,18.57,33.46167,-88.79444,,,,,,,,,,,,,,,,,,
Mississippi Valley St.,-21.03,33.51406,-90.1893619,,,,,,,,,,,,,,,,,,
Missouri,16.69,38.93237,-92.33303,,,,,,,,,,,,,,,,,,
Missouri St.,2.28,37.2020472,-93.2830583,,,,,,,,,,,,,,,,,,
Monmouth,-7.53,40.279475,-74.007583,,,,,,,,,,,,,,,,,,
Montana,-2.65,46.864,-113.983,,,,,,,,,,,,,,,,,,
Montana St.,-7.01,45.6633,-111.0506,,,,,,,,,,,,,,,,,,
Morehead St.,-7.61,38.188786,-83.429006,,,,,,,,,,,,,,,,,,
Morgan St.,-14.62,39.3425,-76.585,,,,,,,,,,,,,,,,,,
Mount St. Mary's,-9.93,39.679492,-77.346435,,,,,,,,,,,,,,,,,,
Murray St.,3.46,36.62267,-88.32031,,,,,,,,,,,,,,,,,,
N.C. State,18.38,35.80333,-78.72194,,,,,,,,,,,,,,,,,,
Navy,-10.68,38.984491,-76.487782,,,,,,,,,,,,,,,,,,
